episode,mode,agent_id,reward,length,crashed,avg_speed,distance,training_steps
0,single,0,1.8873246021508003,9,True,34.187441768249215,282.33317058607383,50000
1,single,0,1.534376361457885,8,True,33.20959735644919,234.85069076842458,50000
2,single,0,19.91961178462274,50,False,39.58696310824215,1944.4415643289851,50000
3,single,0,5.750513979891521,19,True,37.08644254665937,674.7746637634527,50000
4,single,0,1.896530095846177,9,True,36.62495943236698,307.4497970902979,50000
5,single,0,19.741734517162374,50,False,37.941198432544795,1862.8293393635986,50000
6,single,0,19.86242343661416,50,False,39.29500975170624,1931.6024526698932,50000
7,single,0,5.421697654912734,18,True,37.305595479285586,650.0915810742308,50000
8,single,0,19.817074190422765,50,False,39.28372735413928,1931.5907730145896,50000
9,single,0,2.2936887636662218,10,True,35.916018008929235,330.9319217519514,50000
